scenario_id,period,dgp_seed,method,test_mean,test_sd,valid_mean,n,training_rows,positives,selected_endpoint,label,region_shift,drift_per_month,region_drift_per_month,trigger_rate,holdout_pct,base_rate,policy_noise,amount_weight,ceiling,pct_of_ceiling,method_label,rank,regret_vs_best_deployable
reference,late,0,R0_benchmark,0.719894745906102,0.008653820789836907,0.7245642343355634,5,779457.8,25143.8,,Reference,1.5,0.02,0.0,0.06,0.05,0.01,1.8,0.7,0.719894745906102,1.0,uncensored benchmark,,
reference,late,0,R1_holdout_only,0.686401161337826,0.0081187021297285,0.6752624055275632,5,38371.8,1237.8,,Reference,1.5,0.02,0.0,0.06,0.05,0.01,1.8,0.7,0.719894745906102,0.9534743311313948,holdout only,4.0,-0.01231407769054238
reference,late,0,R2_unflagged_only,0.6541539774075232,0.007025513809778732,0.6534136577877564,5,433987.6,13999.6,,Reference,1.5,0.02,0.0,0.06,0.05,0.01,1.8,0.7,0.719894745906102,0.908680027361731,no holdout,7.0,-0.04456126162084517
reference,late,0,R3_drop_unweighted,0.6893847820152365,0.0073744421509402665,0.6895605829190344,5,451192.6,14554.6,,Reference,1.5,0.02,0.0,0.06,0.05,0.01,1.8,0.7,0.719894745906102,0.9576188546112196,dropping,3.0,-0.009330457013131954
reference,late,0,R4_ipw_pure,0.6987152390283684,0.008568822303231702,0.6928114897274067,5,451192.6,14554.6,,Reference,1.5,0.02,0.0,0.06,0.05,0.01,1.8,0.7,0.719894745906102,0.9705797173848298,IPW,1.0,0.0
reference,late,0,R5_asymmetric,0.6987152390283684,0.008568822303231702,0.6928114897274067,5,451192.6,14554.6,R4_ipw_pure,Reference,1.5,0.02,0.0,0.06,0.05,0.01,1.8,0.7,0.719894745906102,0.9705797173848298,Asymmetric IPW,1.0,0.0
reference,late,0,R6_no_retrain,0.6673052503258246,0.008948142855270503,0.6691251673991024,5,783673.8,25279.8,,Reference,1.5,0.02,0.0,0.06,0.05,0.01,1.8,0.7,0.719894745906102,0.926948354770828,no retraining,6.0,-0.031409988702543856
reference,late,0,R7_incremental,0.671394723482228,0.01010181487964021,0.6741174345402693,5,451192.6,14554.6,,Reference,1.5,0.02,0.0,0.06,0.05,0.01,1.8,0.7,0.719894745906102,0.932629009032662,incremental,5.0,-0.027320515546140456
reference_drift,early,0,R0_benchmark,0.7217913673447409,0.007901942168014613,0.7209579474929866,5,785025.4,25323.4,,Reference + regional drift,1.5,0.02,0.02,0.06,0.05,0.01,1.8,0.7,0.7217913673447409,1.0,uncensored benchmark,,
reference_drift,early,0,R1_holdout_only,0.6841361898374039,0.007872902985492359,0.6752595967074618,5,39314.2,1268.2,,Reference + regional drift,1.5,0.02,0.02,0.06,0.05,0.01,1.8,0.7,0.7217913673447409,0.9478309395056089,holdout only,7.0,-0.03712713081134078
